species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_class_name,taxon_order_name
Eastern American jack-o'-lantern,Omphalotus illudens,Eastern American jack-o'-lantern,Fungi,126831,Fungi,Agaricomycetes,Agaricales
Asian Beauty,Radulomyces copelandii,Asian Beauty,Fungi,1113584,Fungi,Agaricomycetes,Agaricales
Smooth Rock Tripe,Umbilicaria mammulata,Smooth Rock Tripe,Fungi,59954,Fungi,Lecanoromycetes,Umbilicariales
Oak-loving Gymnopus,Gymnopus dryophilus,Oak-loving Gymnopus,Fungi,130915,Fungi,Agaricomycetes,Agaricales
green cheese polypore,Fomitopsis spraguei,green cheese polypore,Fungi,1537055,Fungi,Agaricomycetes,Polyporales
Asian Beauty,Radulomyces copelandii,Asian Beauty,Fungi,1113584,Fungi,Agaricomycetes,Agaricales
crown-tipped coral fungus,Artomyces pyxidatus,crown-tipped coral fungus,Fungi,334704,Fungi,Agaricomycetes,Russulales
Femsjonia peziziformis,Femsjonia peziziformis,,Fungi,1272429,Fungi,Dacrymycetes,Dacrymycetales
Tulasnella aurantiaca,Tulasnella aurantiaca,,Fungi,1195407,Fungi,Agaricomycetes,Cantharellales
Carrot-Footed Lepidella,Amanita daucipes,Carrot-Footed Lepidella,Fungi,350035,Fungi,Agaricomycetes,Agaricales
Blackfoot Polypore,Cerioporus leptocephalus,Blackfoot Polypore,Fungi,928232,Fungi,Agaricomycetes,Polyporales
Smoky polypore,Bjerkandera adusta,Smoky polypore,Fungi,118038,Fungi,Agaricomycetes,Polyporales
Flat Crep,Crepidotus applanatus,Flat Crep,Fungi,350514,Fungi,Agaricomycetes,Agaricales
fluted bird's nest fungus,Cyathus striatus,fluted bird's nest fungus,Fungi,120242,Fungi,Agaricomycetes,Agaricales
Ochre Bracket,Trametes ochracea,Ochre Bracket,Fungi,118111,Fungi,Agaricomycetes,Polyporales
Common Funnel,Infundibulicybe gibba,Common Funnel,Fungi,921916,Fungi,Agaricomycetes,Agaricales
Foetid Parachute,Gymnopus foetidus,Foetid Parachute,Fungi,120858,Fungi,Agaricomycetes,Agaricales
Neofavolus americanus,Neofavolus americanus,,Fungi,1076785,Fungi,Agaricomycetes,Polyporales
Oak-loving Gymnopus,Gymnopus dryophilus,Oak-loving Gymnopus,Fungi,130915,Fungi,Agaricomycetes,Agaricales
yellowing curtain crust,Stereum subtomentosum,yellowing curtain crust,Fungi,155081,Fungi,Agaricomycetes,Russulales
Dead Moll's Fingers,Xylaria longipes,Dead Moll's Fingers,Fungi,352912,Fungi,Sordariomycetes,Xylariales
Lumpy Bracket,Trametes gibbosa,Lumpy Bracket,Fungi,410641,Fungi,Agaricomycetes,Polyporales
Almond-scented Russula,Russula grata,Almond-scented Russula,Fungi,118191,Fungi,Agaricomycetes,Russulales
yellowing curtain crust,Stereum subtomentosum,yellowing curtain crust,Fungi,155081,Fungi,Agaricomycetes,Russulales
Honeycomb Coral Slime Mold,Ceratiomyxa fruticulosa,Honeycomb Coral Slime Mold,Protozoa,56252,Protozoa,Ceratiomyxomycetes,Ceratiomyxales
Smooth Rock Tripe,Umbilicaria mammulata,Smooth Rock Tripe,Fungi,59954,Fungi,Lecanoromycetes,Umbilicariales
Eastern cauliflower mushroom,Sparassis spathulata,Eastern cauliflower mushroom,Fungi,334319,Fungi,Agaricomycetes,Polyporales
Eastern American jack-o'-lantern,Omphalotus illudens,Eastern American jack-o'-lantern,Fungi,126831,Fungi,Agaricomycetes,Agaricales
hemlock varnish shelf,Ganoderma tsugae,hemlock varnish shelf,Fungi,63274,Fungi,Agaricomycetes,Polyporales
