taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
8118872	Galerina marginata (Batsch) Kühner	8118872	Galerina marginata (Batsch) Kühner	3	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Hymenogastraceae	3309302	Galerina	9570632	Galerina marginata	8118872	NE
3351419	Laccaria ochropurpurea (Berk.) Peck	3351419	Laccaria ochropurpurea (Berk.) Peck	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Hydnangiaceae	8445	Laccaria	2526677	Laccaria ochropurpurea	3351419	NE
2593955	Scutellinia setosa (Nees) Kuntze	2593955	Scutellinia setosa (Nees) Kuntze	1	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Pezizomycetes	316	Pezizales	1057	Pyronemataceae	4131	Scutellinia	2586663	Scutellinia setosa	2593955	NE
2606178	Flavoparmelia caperata (L.) Hale	2606178	Flavoparmelia caperata (L.) Hale	2	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Lecanoromycetes	180	Lecanorales	1048	Parmeliaceae	8305	Flavoparmelia	2606144	Flavoparmelia caperata	2606178	LC
2526942	Mycena haematopus (Pers.) P.Kumm.	2526942	Mycena haematopus (Pers.) P.Kumm.	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Mycenaceae	4180	Mycena	5955261	Mycena haematopus	2526942	NE
7567077	Cordyceps militaris (L.) Fr.	7567077	Cordyceps militaris (L.) Fr.	1	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Sordariomycetes	320	Hypocreales	1290	Cordycipitaceae	8418	Cordyceps	2560661	Cordyceps militaris	7567077	NE
5255147	Xylaria hypoxylon (L.) Grev.	5255147	Xylaria hypoxylon (L.) Grev.	1	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Sordariomycetes	320	Xylariales	1298	Xylariaceae	4168	Xylaria	2568748	Xylaria hypoxylon	5255147	NE
5241128	Schizophyllum commune Fr.	5241128	Schizophyllum commune Fr.	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Schizophyllaceae	4185	Schizophyllum	2529580	Schizophyllum commune	5241128	NE
7539603	Trichoderma alutaceum Jaklitsch	7539603	Trichoderma alutaceum Jaklitsch	1	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Sordariomycetes	320	Hypocreales	1290	Hypocreaceae	8419	Trichoderma	7703803	Trichoderma alutaceum	7539603	NE
10794162	Physcia thomsoniana Essl.	10794162	Physcia thomsoniana Essl.	1	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Lecanoromycetes	180	Caliciales	10861608	Physciaceae	8369	Physcia	2600367	Physcia thomsoniana	10794162	NE
