latitude,longitude,positional_accuracy,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_class_name,taxon_subclass_name,taxon_order_name,taxon_family_name,taxon_genus_name
39.8808333333,-79.4945,,Pleurotus ostreatus,Oyster Mushroom,Fungi,48494,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Pleurotaceae,Pleurotus
39.8700666667,-79.4991616667,,Grifola frondosa,hen of the woods,Fungi,53714,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,,Polyporales,Grifolaceae,Grifola
39.862865,-79.50284,9,Coprinus comatus,Shaggy Mane,Fungi,47392,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Coprinaceae,Coprinus
39.870175,-79.4866116667,,Calostoma cinnabarinum,stalked puffball-in-aspic,Fungi,68153,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Boletales,Sclerodermataceae,Calostoma
39.8487383333,-79.47297,,Cladonia coniocraea,Common Powderhorn,Fungi,155093,Fungi,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,Cladoniaceae,Cladonia
39.8633713383,-79.4874572754,4065,Entoloma quadratum,salmon pinkgill,Fungi,362917,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Entolomataceae,Entoloma
39.8623172262,-79.4833374023,4183,Entoloma murrayi,Yellow Unicorn Entoloma,Fungi,203674,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Entolomataceae,Entoloma
39.8665335772,-79.4860839844,3596,Mycena leaiana,orange mycena,Fungi,128516,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Mycenaceae,Mycena
39.8826958722,-79.4806410144,2065,Laetiporus sulphureus,chicken of the woods,Fungi,53713,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,,Polyporales,Laetiporaceae,Laetiporus
39.924125,-79.4844133333,,Leucopholiota decorosa,Decorated Pholiota,Fungi,478703,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Squamanitaceae,Leucopholiota
